Sanskrit,English
पुत्री,daughter
आयुध,weapon
तपस्,"heat, penance"
खेल,"sport, play"
आदर,respect
वृद्धि,"growth, increase"
कश्चित्,"someone, anyone"
शान्ति,peace
मस्तक,"head, forehead"
दृश्य,visible
आवश्यक,necessary
उचित,appropriate
दूर,"far, distant"
एतद्,"this, these"
ध्वज,"flag, banner"
मित्र,friend
सनातन,"eternal, perpetual"
संकल्प,"resolve, determination"
हस्त,hand
सदृश,"similar, like"
संदेह,"doubt, suspicion"
अवतार,"incarnation, descent of deity"
पान,drink
पण्डित,scholar
प्रसाद,"grace, blessing"
दशा,"condition, state"
विशेष,"special, distinct"
चिन्ता,"worry, anxiety"
धैर्य,"courage, patience"
पश्चात्,"after, behind"
समर्थ,"capable, powerful"
असुर,demon
केश,hair
कृपा,"mercy, compassion"
ऐश्वर्य,"prosperity, wealth"
जाति,"birth, rank, species"
उक्त,"said, spoken"
स्वर्ग,heaven
त्रि,three
लक्ष्य,"target, goal"
सावधान,"attentive, cautious"
रोक,stop
स्वार्थ,selfishness
सप्त,seven
पताका,"flag, banner"
अक्षय,imperishable
पुराण,ancient text
विधान,"regulation, law"
व्यर्थ,useless
सूक्ष्म,subtle
पञ्च,five
चित्र,"picture, painting"
तामस,"dark, inert"
स्वप्न,dream
अनन्य,unique
प्राणायाम,breath control
तेजस्,brilliance
पाठ,lesson
स्तुति,praise
घोर,terrible
राष्ट्र,nation
लता,"creeper, vine"
तृप्त,satisfied
कठोर,"hard, harsh"
भार,burden
शाखा,branch
अद्य,today
साधु,"good, virtuous"
वर्तमान,present tense
क्षमा,forgiveness
पार्थिव,earthly
सेवक,servant
संयुक्त,united
दीन,"poor, wretched"
स्वर,"note, tone"
अग्निहोत्र,fire ritual
दश,ten
मणि,jewel
अष्टक,group of eight
सहस्र,thousand
गच्छति,goes
क्लेश,pain
स्नेह,affection
परिणाम,result
आहार,food
पाद,foot
विघ्न,obstacle
हिंसा,violence
चतुर्,four
पाल,protector
क्रूर,cruel
प्रमाद,negligence
अन्न,food
अलंकृत,decorated
प्रभु,master
कुपित,angry
एक,one
भुजा,arm
ब्रह्मचर्य,celibacy
अतिथि,guest
मरण,death
अनित्य,impermanent
महत्त्व,greatness
युग,"age, era"
आचार,conduct
नरक,hell
संतान,offspring
जितेन्द्रिय,conquered the senses
राजकुमार,prince
सागर,ocean
अनाथ,orphaned
बन्धु,relative
अष्टादश,eighteen
असु,life-force
कुल,family
सफल,successful
मृग,deer
दुर्बल,weak
विष,poison
प्रार्थना,prayer
जरा,old age
ज्ञात,known
पुनर्,again
उपरि,above
असौ,that
शासन,rule
दया,compassion
करण,cause
अधर्म,injustice
तिथि,lunar day
नक्षत्र,star
संधि,junction
गत,gone
श्वेत,white
शोभित,adorned
कमल,lotus
रथी,charioteer
चरण,foot
उन्मत्त,intoxicated
कान्ति,luster
साक्षात्कार,realization
जात,born
सत्कार,respect
प्रमुख,foremost
दग्ध,burnt
दुर्ग,fort
शान्त,calm
संस्कार,rite
दूत,messenger
स्वतन्त्र,independent
दृष्ट,seen
आदित्य,sun
संग्राम,battle
एवम्,thus
नियम,rule
क्षण,moment
सन्,being
अक्षर,syllable
अस्मद्,"I, we"
हानि,loss
भविष्य,future
कपट,deceit
जायते,is born
असिद्धि,failure
सप्तम,seventh
आधार,support
उपासक,worshipper
आशा,hope
पात्र,vessel
प्रहार,strike
अधिपति,lord
तर्पण,offering
अनुग्रह,grace
सूत,charioteer
मातृ,mother
रुचि,taste
अभि,towards
प्रारम्भ,beginning
संध्या,twilight
मांस,flesh
प्रभा,light
संयम,self-control
यदा,when
पुष्ट,nourished
निद्रा,sleep
विज्ञान,science
निन्दा,blame
आसक्त,attached
पुष्प,flower
शुक्र,brightness
सुवर्ण,gold
ज्येष्ठ,eldest
गृह,house
प्रथम,first
ब्राह्म,related to Brahma
प्रतिष्ठित,established
अनुराग,affection
चतुर्,skillful
सखा,friend
आशीर्वाद,blessing
स्पष्ट,clear
मास,month
हीन,lacking
कदाचित्,sometimes
जित,conquered
खड्ग,sword
कृत,done
पुरोहित,priest
यन्त्र,machine
आचार्य,teacher
भवन,building
शून्य,"zero, empty"
शयन,resting
षट्,six
घन,dense
रण,battle
जानाति,knows
धातु,element
माया,illusion
मद,pride
हल,plough
द्व,two
प्रवाह,flow
द्वादश,twelve
ग्लानि,fatigue
वाहन,vehicle
उदाहरण,example
वाक्य,sentence
पश्चिम,west
महात्मन्,great soul
ग्रह,planet
विभाग,division
पीठ,seat
श्याम,dark-colored
तरुण,young
आवश्यकता,necessity
मनन,contemplation
सत्त्व,essence
किरण,ray
ताप,heat
मानव,human
सम्पत्ति,wealth
नि,down
बाहु,arm
भस्म,ash
प्रयत्न,effort
मोह,delusion
मल,dirt
धारणा,holding
अन्तर,difference
कपोत,pigeon
कल्पना,imagination
कीट,insect
मोक्ष,liberation
सप्तदश,seventeenth
अतीत,past
